Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU179,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,17553
OTU376,#FFFF00FF,Burkholderiales,Proteobacteria,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Rubrivivax,9574
OTU161,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Polaromonas,14485
OTU90,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,21900
OTU75,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,5776
OTU521,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,960
OTU74,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,9430
OTU253,#FFFF00FF,Burkholderiales,Hydrogenophaga,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Hydrogenophaga,7688
OTU1265,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Desmospora,1298
OTU265,#00FF00FF,Others,Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,610
OTU88,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Geothermomicrobium,4656
OTU77,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,51776
OTU127,orangered,Others,Caulobacter,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Caulobacter,3508
OTU136,orangered,Others,Caulobacteraceae,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,13093
OTU137,orangered,Others,Asticcacaulis,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Asticcacaulis,20562
OTU54,orangered,Others,Caulobacter,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Caulobacter,47573
OTU42,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,103110
OTU39,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,58347
OTU152,orangered,Others,Caulobacteraceae,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,8953
OTU281,#FF8000FF,Others,Algoriphagus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,11058
OTU175,#FF8000FF,Others,Dyadobacter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,1436
OTU115,#FF8000FF,Others,Dyadobacter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,8681
OTU323,#FF8000FF,Others,Ohtaekwangia,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,Ohtaekwangia,15459
OTU231,#0080FFFF,Others,Escherichia/Shigella,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,15203
OTU234,#0080FFFF,Others,Enterobacteriaceae,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Enterobacter,10195
OTU1159,#0080FFFF,Others,Enterobacteriaceae,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Enterobacter,1296
OTU483,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,15740
OTU873,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,5697
OTU225,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,38646
OTU631,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,7962
OTU768,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,8282
OTU782,#FF8000FF,Others,Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,3251
OTU688,#FF8000FF,Others,Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,3996
OTU33,#FF8000FF,Others,Chryseobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,1203
OTU405,#FF8000FF,Others,Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,2027
OTU327,#FF00FFFF,Others,Bacteria,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,901
OTU382,#FF00FFFF,Others,Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1470
OTU132,#FF00FFFF,Others,Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,532
OTU108,#FF00FFFF,Others,Gemmatimonas,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,1204
OTU1041,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halanaerobiaceae,Halothermothrix,1146
OTU86,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Chloroflexia,Kallotenuales,Kallotenuaceae,Kallotenue,8456
OTU94,#00FF00FF,Others,Streptococcus,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,4501
OTU106,#FFFF00FF,Others,Methylophilus,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylophilus,751
OTU303,#FFFF00FF,Others,Methylophilaceae,Bacteria,Betaproteobacteria,Methylophilales,Methylophilales,Methylophilaceae,Methylobacillus,10769
OTU735,#00FF80FF,Others,Sorangiineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Phaselicystidaceae,Phaselicystis,1142
OTU479,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,1964
OTU346,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,12658
OTU258,#00FF80FF,Others,Sorangiineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Phaselicystidaceae,Phaselicystis,13963
OTU632,#00FF80FF,Others,Nannocystineae,Bacteria,Deltaproteobacteria,Myxococcales,Myxococcales,Kofleriaceae,Kofleria,8318
OTU79,#FFFF00FF,Others,Betaproteobacteria,Bacteria,Betaproteobacteria,Neisseriales,Neisseriales,Neisseriaceae,Laribacter,546
OTU926,#0080FFFF,Others,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales_incertae_sedis,Gynuella,1195
OTU338,#0080FFFF,Others,Gammaproteobacteria,Bacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillales,Oceanospirillales_incertae_sedis,Gynuella,697
OTU97,#80FF00FF,Others,Opitutus,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,11386
OTU433,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,328
OTU156,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,4422
OTU668,#0080FFFF,Others,Cellvibrio,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Cellvibrio,775
OTU589,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,2975
OTU458,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,6267
OTU616,#0080FFFF,Others,Pseudomonas,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Pseudomonas,1060
OTU85,#0080FFFF,Others,Rhizobacter,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,6672
OTU707,#0080FFFF,Others,Proteobacteria,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Rhizobacter,6368
OTU185,#0080FFFF,Others,Cellvibrio,Bacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadales,Pseudomonadaceae,Cellvibrio,7943
OTU465,orangered,Others,Gemmobacter,Bacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacterales,Rhodobacteraceae,Gemmobacter,3309
OTU821,#FFFF00FF,Others,Rhodocyclaceae,Bacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclales,Rhodocyclaceae,Dechloromonas,1564
OTU328,orangered,Others,Lacibacterium,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Lacibacterium,4760
OTU128,orangered,Others,Lacibacterium,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Lacibacterium,15089
OTU238,orangered,Others,Azospirillum,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Azospirillum,5675
OTU91,orangered,Others,Rhodospirillaceae,Bacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillaceae,Lacibacterium,1511
OTU596,#8000FFFF,Others,Chloroflexi,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Sphaerobacter,636
OTU59,#8000FFFF,Others,Bacteria,Bacteria,Chloroflexi,Sphaerobacteridae,Sphaerobacterales,Sphaerobacteraceae,Nitrolancea,26422
OTU559,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,6887
OTU553,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,2033
OTU356,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,7404
OTU123,#FF8000FF,Others,Niastella,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,27743
OTU289,#FF8000FF,Others,Lacibacter,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Lacibacter,7567
OTU252,#FF8000FF,Others,Chitinophagaceae,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,20009
OTU317,orangered,Others,Erythrobacter,Bacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadales,Erythrobacteraceae,Erythrobacter,1519
OTU104,#80FF00FF,Others,Luteolibacter,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,2419
OTU122,deepskyblue,Others,Aridibacter,Bacteria,Acidobacteria,Acidobacteria_Gp4,,,Aridibacter,2419
OTU199,#FF0080FF,Others,Saccharibacteria_genera_incertae_sedis,Bacteria,Candidatus Saccharibacteria,,,,Saccharibacteria_genera_incertae_sedis,29150
OTU49,deepskyblue,Others,Gp16,Bacteria,Acidobacteria,Acidobacteria_Gp16,,,Gp16,1244
OTU646,#FF0080FF,Others,Saccharibacteria_genera_incertae_sedis,Bacteria,Candidatus Saccharibacteria,,,,Saccharibacteria_genera_incertae_sedis,6861
OTU120,deepskyblue,Others,Aridibacter,Bacteria,Acidobacteria,Acidobacteria_Gp4,,,Aridibacter,2020
OTU35,deepskyblue,Others,Aridibacter,Bacteria,Acidobacteria,Acidobacteria_Gp4,,,Aridibacter,35331
OTU84,deepskyblue,Others,Acidobacteria_Gp4,Bacteria,Acidobacteria,Acidobacteria_Gp4,,,Aridibacter,1917
OTU80,#80FF00FF,Others,Spartobacteria,Bacteria,Verrucomicrobia,Spartobacteria,,,Spartobacteria_genera_incertae_sedis,902
