"","A17","dmi2","dmi3","ipd3","lyk3","nfp","pt4"
"MSTRG.29732",12.1412,10.4397,11.8696,13.4683,11.2655,12.0278,10.8677
"MSTRG.29733",96.0016,111.393,87.7959,99.9795,107.196,96.9346,81.6476
"MSTRG.29734",27.1509,18.1738,14.068,21.2947,20.6688,21.613,16.5436
"MSTRG.29735",59.9761,48.1579,56.5506,60.7559,73.7691,69.6558,51.0099
"MSTRG.29736",1.23883,1.23664,0.247714,0.593443,0.597432,0.685363,0.688876
"MSTRG.29737",0.947385,0.894391,0.503473,0.804103,1.02312,0.644013,0.579862
"MSTRG.29738",17.777,8.15238,0.266606,27.3568,32.7441,18.9822,1.80369
"MSTRG.29739",7.50662,5.06931,1.79098,9.96173,12.058,7.12737,2.33551
"MSTRG.2974",13.7713,13.2747,11.4546,11.7486,14.462,9.75891,10.9402
"MSTRG.29740",3.50337,3.62469,3.35057,4.0064,2.87431,3.6243,3.64786
"MSTRG.29741",0.0316098,0.0820171,0.00628391,0.0321631,0.0252526,0.0404664,0.0211876
"MSTRG.29742",4.72955,4.39471,6.15002,4.90875,3.87669,4.32994,5.79837
"MSTRG.29743",8.71024,7.86088,13.483,10.9392,9.34195,11.9227,11.7068
"MSTRG.29744",0.0251624,0.0306112,0.0425421,0.446785,0.297113,0.112946,0.0873281
"MSTRG.29745",89.8573,91.4815,81.1608,97.5291,105.914,95.6721,80.7083
"MSTRG.29746",0.524327,0.0474445,0.318233,0.485956,1.08203,0.423167,0.573737
"MSTRG.29747",0.325194,0.377634,0.504437,0.522298,0.227925,0.33721,0.221885
"MSTRG.29748",2.66174,1.38982,2.62754,3.65357,1.66144,2.45332,3.90263
"MSTRG.29749",21.1362,22.6699,17.4744,16.986,17.9355,18.1888,17.4978
"MSTRG.2975",71.3692,81.9477,79.3466,75.0575,86.3859,86.9674,73.6838
"MSTRG.29750",18.5828,19.7468,20.1108,20.0568,18.4018,19.3737,19.3838
"MSTRG.29751",9.83835,14.9337,4.68974,7.47504,12.1149,5.26205,10.6942
"MSTRG.29752",8.91641,3.54055,2.36814,5.91093,12.3461,11.5077,6.57889
"MSTRG.29753",33.5718,29.9519,31.0973,39.2867,40.5968,44.3249,36.744
"MSTRG.29754",64.494,46.8089,47.9902,60.3318,58.8562,45.2883,46.2898
"MSTRG.29755",27.5963,25.9772,26.2382,27.3021,26.752,26.3461,23.0756
"MSTRG.29756",0.501148,1.12728,0.600208,1.13128,1.96515,1.2182,0.562915
"MSTRG.29757",58.7737,38.708,47.5855,53.8515,56.5789,39.0183,50.2976
"MSTRG.29758",16.1881,8.6185,5.59882,14.3242,15.1713,13.2377,7.00724
"MSTRG.29759",20.9048,20.5637,25.5488,24.6455,18.2179,17.1009,21.2113
"MSTRG.2976",10.5089,12.7656,11.497,10.5561,10.2639,13.0903,10.5182
