Id,Phylum_color,Order_color,Name,Domain,Phylum,Class,Order,Family,Genus,Size
OTU161,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Polaromonas,15025
OTU993,#FFFF00FF,Burkholderiales,Massilia,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Oxalobacteraceae,Massilia,1252
OTU90,#FFFF00FF,Burkholderiales,Burkholderiales,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Burkholderiales_incertae_sedis,Aquabacterium,6960
OTU75,#FFFF00FF,Burkholderiales,Variovorax,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Variovorax,12580
OTU521,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,16117
OTU74,#FFFF00FF,Burkholderiales,Comamonadaceae,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Ramlibacter,2805
OTU253,#FFFF00FF,Burkholderiales,Hydrogenophaga,Bacteria,Betaproteobacteria,Burkholderiales,Burkholderiales,Comamonadaceae,Hydrogenophaga,45144
OTU857,#00FFFFFF,Others,Acidimicrobineae,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Iamiaceae,Aquihabitans,21825
OTU680,#00FFFFFF,Others,Acidimicrobineae,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Iamiaceae,Aquihabitans,26673
OTU1265,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Desmospora,2481
OTU1030,#00FF00FF,Others,Bacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1,Bacillus,5053
OTU723,#00FF00FF,Others,Anoxybacillus,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae 1,Anoxybacillus,2933
OTU265,#00FF00FF,Others,Staphylococcus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,20839
OTU88,#00FF00FF,Others,Bacteria,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae 1,Geothermomicrobium,916
OTU77,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,28941
OTU127,orangered,Others,Caulobacter,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Caulobacter,1300
OTU136,orangered,Others,Caulobacteraceae,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,47684
OTU137,orangered,Others,Asticcacaulis,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Asticcacaulis,16674
OTU795,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,8877
OTU637,orangered,Others,Brevundimonas,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Brevundimonas,24840
OTU54,orangered,Others,Caulobacter,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Caulobacter,39741
OTU42,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,44340
OTU39,orangered,Others,Phenylobacterium,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,45735
OTU152,orangered,Others,Caulobacteraceae,Bacteria,Alphaproteobacteria,Caulobacterales,Caulobacterales,Caulobacteraceae,Phenylobacterium,15919
OTU281,#FF8000FF,Others,Algoriphagus,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,31468
OTU115,#FF8000FF,Others,Dyadobacter,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,20096
OTU1732,#FF8000FF,Others,Ohtaekwangia,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,Ohtaekwangia,3474
OTU323,#FF8000FF,Others,Ohtaekwangia,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,Ohtaekwangia,3365
OTU552,#FF8000FF,Others,Ohtaekwangia,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,,Ohtaekwangia,17495
OTU2002,#00FF80FF,Others,Geobacter,Bacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadales,Geobacteraceae,Geobacter,3104
OTU231,#0080FFFF,Others,Escherichia/Shigella,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Escherichia/Shigella,9542
OTU674,#0080FFFF,Others,Enterobacteriaceae,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Enterobacter,8759
OTU234,#0080FFFF,Others,Enterobacteriaceae,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Enterobacter,3905
OTU1159,#0080FFFF,Others,Enterobacteriaceae,Bacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriales,Enterobacteriaceae,Enterobacter,1639
OTU782,#FF8000FF,Others,Flavobacterium,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,2073
