Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,corrected p-value(BH method)
Biological process,reactive oxygen species metabolic process,GO:0072593,4,1.42E-07,13.36783217,8,176,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",1.89E-05
Biological process,antibiotic catabolic process,GO:0017001,6,1.96E-07,16.7369606,7,123,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",1.96E-05
Biological process,cellular oxidant detoxification,GO:0098869,4,2.88E-07,12.19035472,8,193,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",2.30E-05
Biological process,hydrogen peroxide metabolic process,GO:0042743,6,3.02E-07,15.71485614,7,131,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",2.01E-05
Biological process,cellular detoxification,GO:1990748,3,3.24E-07,12.00376766,8,196,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",1.85E-05
Biological process,detoxification,GO:0098754,2,3.78E-07,11.76369231,8,200,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",1.89E-05
Biological process,cellular response to toxic substance,GO:0097237,5,3.93E-07,11.70516648,8,201,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",1.75E-05
Biological process,cofactor catabolic process,GO:0051187,5,4.10E-07,15.02661426,7,137,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",1.64E-05
Biological process,response to toxic substance,GO:0009636,4,2.57E-06,9.119141324,8,258,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",9.33E-05
Biological process,photosynthesis,GO:0015979,4,1.69E-05,8.577692308,7,240,65,19116,"Medtr4g050860,Medtr7g088880,Medtr4g050850,Medtr4g051370,Medtr4g051375,Medtr4g034770,Medtr4g034790,",5.63E-04
Biological process,drug metabolic process,GO:0017144,4,1.86E-05,5.232959212,10,562,65,19116,"Medtr4g051097,Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g051103,Medtr8g079120,Medtr2g029750,",5.73E-04
Biological process,response to oxidative stress,GO:0006979,4,2.73E-05,6.590303814,8,357,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr2g029750,",7.80E-04
Biological process,drug catabolic process,GO:0042737,5,8.58E-05,6.640794045,7,310,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",0.00228703
Biological process,cofactor metabolic process,GO:0051186,4,2.90E-04,5.446153846,7,378,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr2g029750,",0.007260909
Biological process,cellular response to chemical stimulus,GO:0070887,4,3.63E-04,4.028661749,9,657,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr7g072510,Medtr4g098500,Medtr8g079120,Medtr2g029750,",0.008534539
Biological process,metabolic process,GO:0008152,2,9.08E-04,1.2442115,57,13473,65,19116,"Medtr4g051097,Medtr4g050860,Medtr8g015950,Medtr7g088880,Medtr2g084020,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr2g095920,Medtr1g022970,Medtr4g050850,Medtr2g029560,Medtr2g084010,Medtr4g051130,Medtr4g051350,Medtr7g104330,Medtr5g009120,Medtr8g089585,Medtr1g116120,Medtr7g075890,Medtr2g043850,Medtr2g096040,Medtr4g034750,Medtr4g079170,Medtr1g054205,Medtr4g051370,Medtr4g006100,Medtr6g013050,Medtr7g080250,Medtr1g100210,Medtr4g117330,Medtr1g017020,Medtr4g035040,Medtr3g117750,Medtr4g051380,Medtr3g080810,Medtr4g051375,Medtr4g034770,Medtr7g072510,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g034690,Medtr8g079900,Medtr1g074310,Medtr0200s0050,Medtr4g051103,Medtr4g051410,Medtr4g098500,Medtr4g107220,Medtr4g034790,Medtr4g109600,Medtr8g079120,Medtr4g034810,Medtr2g029750,",0.020185366
Biological process,translation,GO:0006412,8,0.001644355,3.255634402,9,813,65,19116,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.034618005
Biological process,peptide biosynthetic process,GO:0043043,7,0.001758633,3.223910803,9,821,65,19116,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.035172662
Biological process,peptide metabolic process,GO:0006518,6,0.00203924,3.154744659,9,839,65,19116,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.037077098
Biological process,cellular catabolic process,GO:0044248,4,0.00203924,3.154744659,9,839,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr1g017020,Medtr3g080810,Medtr7g072510,Medtr2g029750,",0.037077098
Biological process,amide biosynthetic process,GO:0043604,6,0.002606003,3.042334218,9,870,65,19116,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.043433386
Biological process,cellular metabolic process,GO:0044237,3,0.002610991,1.359964429,44,9515,65,19116,"Medtr4g051097,Medtr4g050860,Medtr8g015950,Medtr7g088880,Medtr2g084020,Medtr1g064260,Medtr4g034720,Medtr4g051120,Medtr2g095920,Medtr1g022970,Medtr4g050850,Medtr2g029560,Medtr2g084010,Medtr4g051130,Medtr4g051350,Medtr7g104330,Medtr5g009120,Medtr4g034750,Medtr1g054205,Medtr4g051370,Medtr6g013050,Medtr1g100210,Medtr4g117330,Medtr1g017020,Medtr3g117750,Medtr4g051380,Medtr3g080810,Medtr4g051375,Medtr4g034770,Medtr7g072510,Medtr8g102800,Medtr5g054300,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr1g074310,Medtr0200s0050,Medtr4g051103,Medtr4g051410,Medtr4g098500,Medtr4g034790,Medtr8g079120,Medtr4g034810,Medtr2g029750,",0.041775849
Biological process,cellular amide metabolic process,GO:0043603,5,0.003887977,2.864535465,9,924,65,19116,"Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051410,Medtr4g034810,",0.059815033
Biological process,catabolic process,GO:0009056,3,0.006606991,2.638914027,9,1003,65,19116,"Medtr2g084020,Medtr1g022970,Medtr2g029560,Medtr2g084010,Medtr1g054205,Medtr1g017020,Medtr3g080810,Medtr7g072510,Medtr2g029750,",0.091130909
Biological process,organonitrogen compound biosynthetic process,GO:1901566,5,0.006937472,2.320671008,11,1394,65,19116,"Medtr4g051097,Medtr4g034720,Medtr4g051350,Medtr4g034750,Medtr4g051380,Medtr4g006090,Medtr4g051390,Medtr4g051110,Medtr4g051103,Medtr4g051410,Medtr4g034810,",0.092499632
